1|0.011|0.001
2|0.030|0.001
3|0.055|0.002
4|0.084|0.003
5|0.117|0,003
6|0.154|0.004
7|0.194|0.004
8|0.236|0.004
9|0.282|0.005
10|0.329|0.005
11|0.380|0.005
12|0.432|0.005
13|0.487|0.005
14|0.543|0.006
15|0.602|0.006
16|0.662|0.006
17|0.724|0.006
18|0.788|0.006
19|0.853|0.007
20|0.920|0.007
21|0.989|0.007
22|1.059|0.007
23|1.131|0.007
24|1.204|0.007
25|1.278|0.007
26|1.354|0.008
27|1.431|0.008
28|1.509|0.008
29|1.589|0.008
30|1.669|0.008
31|1.751|0.008
32|1.834|0.008
33|1.919|0.008
34|2.004|0.009
35|2.090|0.009
36|2.177|0.009
37|2.266|0.009
38|2.355|0.009
39|2.446|0.009
40|2.537|0.009
41|2.629|0.009
42|2.722|0.009
43|2.816|0.009
44|2.911|0.009
45|3.007|0.010
46|3.103|0.010
47|3.201|0.010
48|3.299|0.010
49|3.398|0.010
50|3.498|0.010
51|3.598|0.010
52|3.700|0.010
53|3.802|0.010
54|3.904|0.010
55|4.008|0.010
56|4.112|0.010
57|4.216|0.010
58|4.322|0.011
59|4.428|0.011
60|4.534|0.011
61|4.642|0.011
62|4.750|0.011
63|4.858|0.011
64|4.967|0.011
65|5.077|0.011
66|5.187|0.011
67|5.297|0.011
68|5.409|0.011
60|5.520|0.011
70|5.633|0.011
71|5.745|0.011
72|5.858|0.011
73|5.972|0.011
74|6.086|0.011
75|6.201|0.011
76|6.316|0.012
77|6.431|0.012
78|6.547|0.012
79|6.664|0.012
80|6.780|0.012
81|6.897|0.012
82|7.015|0.012
83|7.133|0.012
84|7.251|0.012
85|7.369|0.012
86|7.488|0.012
87|7.608|0.012
88|7.727|0.012
89|7.847|0.012
90|7.967|0.012
91|8.088|0.012
92|8.208|0.012
93|8.329|0.012
94|8.451|0.012
95|8.572|0.012
96|8.694|0.012
97|8.816|0.012
98|8.938|0.012
99|9.061|0.012
100|9.184|0.012
101|9.307|0.012
102|9.430|0.012
103|9.553|0.012
104|9.677|0.012
105|9.801|0.012
106|9.924|0.012
107|10.048|0.012
108|10.173|0.012
109|10.297|0.012
110|10.412|0.012
111|10.546|0.012
112|10.671|0.012
113|10.796|0.012
114|10.921|0.012
115|11.046|0.013
116|11.171|0.013
117|11.296|0.013
118|11.421|0.013
119|11.547|0.013
120|11.672|0.013
121|11.797|0.013
122|11.973|0.013
123|12.049|0.013
124|12.174|0.013
125|12.300|0.013
126|12.425|0.013
127|12.551|0.013
128|12.676|0.013
129|12.802|0.013
130|17.977|0.013
131|13.053|0.013
132|13.178|0.013
133|13.304|0.013
134|13.429|0.013
135|13.554|0.013
136|13.680|0.013
137|13.805|0.013
138|13.930|0.013
139|14.055|0.012
140|14.180|0.012
141|14.304|0.012
142|14.429|0.012
143|14.553|0.012
144|14.678|0.012
145|14.802|0.012
146|14.926|0.012
147|15.050|0.012
148|15.174|0.012
149|15.297|0.012
150|15.421|0.012
151|13.544|0.012
152|15.667|0.012
153|15.790|0.012
154|13.912|0.012
155|16.035|0.012
156|16.157|0.012
157|16.278|0.012
158|16.400|0.012
159|16.521|0.012
160|16.642|0.012
161|16.763|0.012
162|16.884|0.012
163|17.004|0.012
164|17.124|0.012
165|17.243|0.012
166|17.363|0.012
167|17.482|0.012
168|17.600|0.012
160|17.718|0.012
170|17.836|0.012
171|17.054|0.012
172|18.071|0.012
173|18.188|0.012
174|18.304|0.012
175|18.420|0.012
176|I8.535|0.012
177|18.651|0.012
178|18.765|0.011
179|18.879|0.011
180|18.993|0.011
181|19.106|0.011
182|19.219|0.011
183|19.331|0.011
184|19.443|0.011
185|19.554|0.011
186|19.665|0.011
187|19.775|0.011
188|19.885|0.011
189|19.994|0.011
190|20.103|0.011
191|20.710|0.011
192|20.318|0.011
193|20.424|0.011
194|20.531|0.011
195|20.636|0.011
196|20.741|0.010
197|20.845|0.010
198|20.948|0.010
109|21.051|0.010
200|21.153|0.010
201|71.754|0.010
202|21.355|0.010
203|21.455|0.010
204|21.554|0.010
205|21.652|0.010
206|21.750|0.010
207|21.846|0.010
708|21.942|0.010
709|22.037|0.009
710|22.131|0.009
211|77.775|0.009
212|27.317|0.009
113|22.408|0.009
214|22.499|0.009
215|22.588|0.009
216|22.677|0.009
217|22.764|0.009
218|22.851|0.009
219|22.936|0.009
220|23.020|0.008
221|23.103|0.008
222|23.185|0.008
223|23.266|0.008
214|23.346|0.008
215|23.474|0.008
216|23.501|0.008
227|23.577|0.008
228|23.652|0.007
229|23.725|0.007
230|23.797|0.007
231|23.867|0.007
232|23.936|0.007
233|24.003|0.007
734|24.069|0.007
235|24.133|0.006
236|24.195|0.006
237|24.755|0.006
238|24.314|0.006
239|24.371|0.006
240|24.426|0.005
241|24.478|0.005
242|24.529|0.005
243|24.577|0.005
244|24.622|0.005
245|24.665|0.004
246|24.705|0.004
247|24.742|0.004
248|24.776|0.003
249|24.806|0.003
250|24.831|0.003
251|24.851|0.002
252|24.863|0.001
